"date","transition","transition_deputy","parliament_report","parliament_committee","parliament_committee_deputy","sum"
"Fri Mar 11 19:33:09 2022",53,27,217,141,95,533
"Sat Mar 12 02:19:27 2022",53,27,217,141,95,533
"Sat Mar 12 11:26:25 2022",53,27,217,141,95,533
"Sun Mar 13 19:15:09 2022",53,27,217,141,95,533
"Mon Mar 14 11:27:56 2022",53,27,217,141,95,533
"Tue Mar 15 11:23:27 2022",53,27,217,141,95,533
"Wed Mar 16 11:25:00 2022",53,27,217,141,95,533
"Thu Mar 17 11:24:25 2022",53,27,217,141,95,533
"Fri Mar 18 11:22:55 2022",53,27,217,141,95,533
"Sat Mar 19 11:24:03 2022",53,27,215,141,95,531
"Sun Mar 20 11:25:04 2022",53,27,215,141,95,531
"Mon Mar 21 11:24:35 2022",53,27,215,141,95,531
"Tue Mar 22 11:26:43 2022",53,27,215,141,95,531
"Wed Mar 23 11:23:33 2022",53,27,215,141,95,531
"Thu Mar 24 11:23:28 2022",54,27,215,141,95,532
"Fri Mar 25 11:24:40 2022",54,27,215,141,95,532
"Sat Mar 26 11:23:07 2022",55,27,215,141,95,533
"Sun Mar 27 11:26:01 2022",55,27,215,141,95,533
